"cloud-0x0"     "tilesets/grass/cloud-0x0/"
"cloud-0x1"     "tilesets/grass/cloud-0x1/"
"cloud-1x0"     "tilesets/grass/cloud-1x0/"
"cloud-1x1"     "tilesets/grass/cloud-1x1/"
"cloud-2x0"     "tilesets/grass/cloud-2x0/"
"cloud-2x1"     "tilesets/grass/cloud-2x1/"
"l-shallow-grass-ceil-0x0"      "tilesets/grass/l-shallow-grass-ceil-0x0/"
"l-shallow-grass-ceil-1x0"      "tilesets/grass/l-shallow-grass-ceil-1x0/"
"l-shallow-grass-slope-0x0"     "tilesets/grass/l-shallow-grass-slope-0x0/"
"l-shallow-grass-slope-1x0"     "tilesets/grass/l-shallow-grass-slope-1x0/"
"l-steep-grass-ceil-0x0"        "tilesets/grass/l-steep-grass-ceil-0x0/"
"l-steep-grass-ceil-0x1"        "tilesets/grass/l-steep-grass-ceil-0x1/"
"l-steep-grass-slope-0x0"       "tilesets/grass/l-steep-grass-slope-0x0/"
"l-steep-grass-slope-0x1"       "tilesets/grass/l-steep-grass-slope-0x1/"
"r-shallow-grass-ceil-0x0"      "tilesets/grass/r-shallow-grass-ceil-0x0/"
"r-shallow-grass-ceil-1x0"      "tilesets/grass/r-shallow-grass-ceil-1x0/"
"r-shallow-grass-slope-0x0"     "tilesets/grass/r-shallow-grass-slope-0x0/"
"r-shallow-grass-slope-1x0"     "tilesets/grass/r-shallow-grass-slope-1x0/"
"r-steep-grass-ceil-0x0"        "tilesets/grass/r-steep-grass-ceil-0x0/"
"r-steep-grass-ceil-0x1"        "tilesets/grass/r-steep-grass-ceil-0x1/"
"r-steep-grass-slope-0x0"       "tilesets/grass/r-steep-grass-slope-0x0/"
"r-steep-grass-slope-0x1"       "tilesets/grass/r-steep-grass-slope-0x1/"
"r-45-grass-ceil"	"tilesets/grass/r-45-grass-ceil/"
"r-45-grass-slope"	"tilesets/grass/r-45-grass-slope/"
"l-45-grass-ceil"	"tilesets/grass/l-45-grass-ceil/"
"l-45-grass-slope"	"tilesets/grass/l-45-grass-slope/"
"square-grass-0x0"      "tilesets/grass/square-grass-0x0/"
"square-grass-0x1"      "tilesets/grass/square-grass-0x1/"
"square-grass-0x2"      "tilesets/grass/square-grass-0x2/"
"square-grass-1x0"      "tilesets/grass/square-grass-1x0/"
"square-grass-1x1"      "tilesets/grass/square-grass-1x1/"
"square-grass-1x2"      "tilesets/grass/square-grass-1x2/"
"square-grass-2x0"      "tilesets/grass/square-grass-2x0/"
"square-grass-2x1"      "tilesets/grass/square-grass-2x1/"
"square-grass-2x2"      "tilesets/grass/square-grass-2x2/"

"block1"		"tilesets/grass/block1/"
